name,id,artists
Trance (with Travis Scott & Young Thug),5wG3HvLhF6Y5KTGlK0IW3J,"['0iEtIxbK0KxaSlF7G42ZOp', '0Y5tJX1MQlPlqiwlOH1tJY', '50co4Is1HCEo8bhOyUWKpn']"
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,"['246dkjvS1zLTtiykXe5h60', '1URnnhqYAYcrqrcwql10ft']"
Black Beatles,6fujklziTHa8uoM5OQSfIo,"['7iZtZyCzp3LItcw1wtPI3D', '13y7CgLHjMVRMDqxdx0Xdo']"
Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,"['4DdkRBBYG6Yk9Ka8tdJ9BW', '0iEtIxbK0KxaSlF7G42ZOp']"
Break Free,12KUFSHFgT0XCoiSlvdQi4,"['66CXWjxzNUsdJxJ2JdwvnR', '2qxJFvFYMEDqd7ui6kSAcq']"
I Like It,58q2HKrzhC3ozto2nDdN4z,"['4kYSro6naA4h99UJvo89HB', '4q3ewBCX7sLwd24euuV69X']"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,"['7CajNmpbOovFoOoasH2HaY', '6jJ0s89eD6GaHleKKya26X', '0c173mlxpT3dSFRgMO8XPh']"
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,"['4nDoRrQiYLoBzwC5BhVJzF', '50co4Is1HCEo8bhOyUWKpn']"
Lose My Mind (feat. Doja Cat) [From F1® The Movie],02BcXEH1zJYbXSabPtNlKf,"['4Gso3d4CscCijv0lmajZWs', '5cj0lLjcoR7YOSnhnX0Po5']"
Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,"['1RyvyyTE3xzB2ZywiAwp0i', '1Xyo4u8uXC1ZmMpatF05PJ']"
SPAGHETTI,2N9miXnewVmUrgl6JSK1FI,"['4SpbR6yFEvexJuaBpgAU5p', '0b1sIQumIAsNbqAoIClSpy']"
Dusk Till Dawn (feat. Sia) - Radio Edit,3e7sxremeOE3wTySiOhGiP,"['5ZsFI1h6hIdQRw2ti0hz81', '5WUlDfRSoLAfcVSX1WnrxN']"
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,"['06HL4z0CvFAxyc27GXpf02', '246dkjvS1zLTtiykXe5h60']"
I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y,"['5ZsFI1h6hIdQRw2ti0hz81', '06HL4z0CvFAxyc27GXpf02']"
Fuck Love,7AQim7LbvFVZJE3O8TYgf2,"['15UsOTVnJzReFVN1VCnxy4', '6Xgp2XMz1fhVYe7i6yNAax']"
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,"['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']"
DON'T KILL THE PARTY (feat. Quavo & Juicy J),4YmsnZcxHEGEqHB3K0vdt0,"['7c0XG5cIJTrrAgEC3ULPiq', '0VRj0yCOv2FXJNP47XQnx5', '5gCRApTajqwbnHHPbr2Fpi']"
Bang Bang,0puf9yIluy9W0vpMEUoAnN,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']"
Sexy Bitch (feat. Akon),2dGxjfhFXDIUX9h5ImyKkE,"['1Cs0zKBU1kc0i8ypK3B9ai', '0z4gvV4rjIZ9wHck67ucSV']"
Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,"['66CXWjxzNUsdJxJ2JdwvnR', '1uNFoZAHBGtllmzznpCI3s']"
Cinderella (feat. Ty Dolla $ign),2lpygKqzPFtItQ4ss3cgfb,"['4LLpKhyESsyAXpc4laK94U', '7c0XG5cIJTrrAgEC3ULPiq']"
family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN,"['5SXuuuRpukkTvsLuUknva1', '2YZyLoL8N0Wb9xBt1NhZWg']"
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,"['7CajNmpbOovFoOoasH2HaY', '6M2wZ9GZgrQXHCFfjv46we']"
I Don't Wanna Wait,331l3xABO0HMr1Kkyh2LZq,"['1Cs0zKBU1kc0i8ypK3B9ai', '5Pwc4xIPtQLFEnJriah9YJ']"
You Right,0k4d5YPDr1r7FX77VdqWez,"['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']"
Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']"
Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,"['3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']"
Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,"['7dGJo4pcD2V6oG8kP0tJRR', '4MCBfE4596Uoi2O4DtmEMz']"
Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J,"['5f7VJjfbwm532GiveGC0ZK', '4r63FhuTkUYltbVAg5TQnk']"
Run This Town,7LR85XLWw2yXqKBSI5brbG,"['5pKCCKE2ajJHZ9KAiaK11H', '5K4W6rqBFWDnAN6FQUkS6x']"
Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,"['1uNFoZAHBGtllmzznpCI3s', '0VRj0yCOv2FXJNP47XQnx5']"
Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,"['5K4W6rqBFWDnAN6FQUkS6x', '2HPaUgqeutzr3jx5a9WyDV']"
My Boo,68vgtRHr7iZHpzGpon6Jlo,"['23zg3TcAtWQy7J6upgbUnj', '3DiDSECUqqY1AuBP8qtaIa']"
Telephone,4TCL0qqKyqsMZml0G3M9IM,"['1HY2Jd0NmPuamShAr6KMms', '6vWDO969PvNqNYHIOW5v0m']"
Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,"['0iEtIxbK0KxaSlF7G42ZOp', '1Xyo4u8uXC1ZmMpatF05PJ', '1URnnhqYAYcrqrcwql10ft']"
